id1,id,id,type,use
DCO_LLO_Bv4v5..BRF1_BR170218_1,DCO_LLO_Bv4v5..BRF1_BR170218_1,S2,F,R
DCO_LLO_Bv4v5..BRF2_BR170218_2,DCO_LLO_Bv4v5..BRF2_BR170218_2,S3,F,R
DCO_LLO_Bv4v5..BRS1_BR170218_1,DCO_LLO_Bv4v5..BRS1_BR170218_1,S2,S,R
DCO_LLO_Bv4v5..BRS2_BR170218_2,DCO_LLO_Bv4v5..BRS2_BR170218_2,S3,S,R
DCO_LLO_Bv4v5..CYF_CY170214,DCO_LLO_Bv4v5..CYF_CY170214,S8,F,N
DCO_LLO_Bv4v5..CYS_CY170214,DCO_LLO_Bv4v5..CYS_CY170214,S8,S,N
DCO_LLO_Bv4v5..EPF_EP170215,DCO_LLO_Bv4v5..EPF_EP170215,S9,F,N
DCO_LLO_Bv4v5..EPS_EP170215,DCO_LLO_Bv4v5..EPS_EP170215,S9,S,N
DCO_LLO_Bv4v5..ESF9_ES_F9,DCO_LLO_Bv4v5..ESF9_ES_F9,S10,F,N
DCO_LLO_Bv4v5..ETF_ET170220,DCO_LLO_Bv4v5..ETF_ET170220,S5,F,R
DCO_LLO_Bv4v5..ETS_ET170220,DCO_LLO_Bv4v5..ETS_ET170220,S5,S,R
DCO_LLO_Bv4v5..FAF_FA170219,DCO_LLO_Bv4v5..FAF_FA170219,S11,F,N
DCO_LLO_Bv4v5..FAS_FA170219,DCO_LLO_Bv4v5..FAS_FA170219,S11,S,N
DCO_LLO_Bv4v5..MTF_MT170219,DCO_LLO_Bv4v5..MTF_MT170219,S7,F,R
DCO_LLO_Bv4v5..PFF_PF170224,DCO_LLO_Bv4v5..PFF_PF170224,S13,F,N
DCO_LLO_Bv4v5..PFS_PF170222,DCO_LLO_Bv4v5..PFS_PF170222,S13,S,N
DCO_LLO_Bv4v5..QHF2_QH170212_2,DCO_LLO_Bv4v5..QHF2_QH170212_2,S15,F,N
DCO_LLO_Bv4v5..QHS1_QH170213_1,DCO_LLO_Bv4v5..QHS1_QH170213_1,S14,S,N
DCO_LLO_Bv4v5..QHS2_QH170213_2,DCO_LLO_Bv4v5..QHS2_QH170213_2,S15,S,N
DCO_LLO_Bv4v5..QNF_QN170220,DCO_LLO_Bv4v5..QNF_QN170220,S16,F,N
DCO_LLO_Bv4v5..QNS_QN170220,DCO_LLO_Bv4v5..QNS_QN170220,S16,S,N
DCO_LLO_Bv4v5..RSS_RS170216,DCO_LLO_Bv4v5..RSS_RS170216,S17,S,N
DCO_LLO_Bv4v5..SIS_SI170217,DCO_LLO_Bv4v5..SIS_SI170217,S18,S,N
DCO_LLO_Bv4v5..SLF_SL170214,DCO_LLO_Bv4v5..SLF_SL170214,S19,F,N
DCO_LLO_Bv4v5..SLS_SL170214_S,DCO_LLO_Bv4v5..SLS_SL170214_S,S19,S,N
DCO_LLO_Bv4v5..STS_ST170223,DCO_LLO_Bv4v5..STS_ST170223,S21,S,N
DCO_LLO_Bv4v5..TCF_TC170221,DCO_LLO_Bv4v5..TCF_TC170221,S6,F,R
DCO_LLO_Bv4v5..TCS_TC170221_2,DCO_LLO_Bv4v5..TCS_TC170221_2,S6,S,R
DCO_LLO_Bv4v5..VCS_VC170218,DCO_LLO_Bv4v5..VCS_VC170218,S22,S,N
