ID1,ID,type,code,site
BQ,BQ,F,BQ,S1
BQF,BQF,F,BQ,S1
BQS,BQS,S,BQ,S1
BR1,BR1,F,BR1,S2
BRF1,BRF1,F,BR1,S2
BRF2,BRF2,F,BR1,S2
BRS1,BRS1,S,BR2,S3
BRS2,BRS2,S,BR2,S3
CY,CY,F,CY,S8
CYS,CYS,S,CY,S8
RVF,RVF,F,RV,S4
EP,EP,F,EP,S9
EPS,EPS,S,EP,S9
ESF9,ESF9,F,ES,S10
ETS,ETS,S,ET,S5
FAS,FAS,S,FA,S11
TCS,TCS,S,TC,S6
MTF,MTF,F,MT,S7
PF,PF,F,PF,S13
PFS,PFS,S,PF,S13
QH2,QH2,F,QH2,S15
QHS1,QHS1,S,QH1,S14
QHS2,QHS2,S,QH2,S15
QN,QN,F,QN,S16
QNS,QNS,S,QN,S16
RS,RS,F,RS,S17
RSS,RSS,S,RS,S17
SI,SI,F,SI,S18
SIS,SIS,S,SI,S18
SL,SL,F,SL,S19
SLS,SLS,S,SL,S19
TC,TC,F,TC,S6
